Nama File,Rerata,Persentase,Zona Atas,Zona Tengah,Zona Bawah,Tekanan Tulisan,Dominasi Zona
a01-000u-s00-00.png,61.36,24.06,26,41,21,Kuat,Tengah
a01-000u-s00-01.png,64.51,25.3,29,31,44,Kuat,Bawah
a01-000u-s00-02.png,66.12,25.93,36,31,37,Kuat,Tengah
a01-000u-s00-03.png,62.83,24.64,23,31,11,Kuat,Tengah
a01-000u-s01-00.png,67.27,26.38,26,30,11,Kuat,Tengah
a01-000u-s01-01.png,69.18,27.13,25,31,37,Kuat,Tengah
a01-000u-s01-02.png,67.8,26.59,31,1,55,Kuat,Bawah
a01-000u-s01-03.png,70.63,27.7,28,36,22,Kuat,Tengah
a01-003u-s00-00.png,69.73,27.35,35,34,36,Kuat,Tengah
a01-003u-s00-01.png,73.09,28.66,39,40,23,Kuat,Tengah
a01-003u-s00-02.png,72.78,28.54,30,34,31,Kuat,Tengah
a01-003u-s00-03.png,76.72,30.09,30,31,13,Sedang,Tengah
a01-003u-s01-00.png,74.76,29.32,42,33,15,Kuat,Atas
a01-003u-s01-01.png,77.1,30.24,31,38,33,Sedang,Tengah
a01-003u-s01-02.png,79.23,31.07,32,40,31,Sedang,Tengah
a01-003u-s01-03.png,77.15,30.25,31,31,39,Sedang,Tengah
a01-003u-s01-04.png,80.96,31.75,31,27,20,Sedang,Tengah
a01-003u-s02-00.png,83.8,32.86,31,38,10,Sedang,Tengah
a01-003u-s02-01.png,82.52,32.36,33,35,12,Sedang,Atas
a01-003u-s02-02.png,83.06,32.57,34,39,17,Sedang,Tengah
a01-003u-s02-03.png,80.69,31.64,50,37,19,Sedang,Atas
a01-007u-s00-00.png,80.72,31.65,27,43,21,Sedang,Tengah
a01-007u-s00-01.png,84.4,33.1,17,38,3,Sedang,Tengah
a01-007u-s01-00.png,85.04,33.35,18,36,10,Sedang,Tengah
a01-007u-s01-01.png,84.47,33.13,32,31,14,Sedang,Atas
a01-007u-s01-02.png,86.73,34.01,39,32,21,Sedang,Atas
a01-007u-s01-03.png,86.94,34.09,36,44,7,Sedang,Atas
a01-007u-s01-04.png,90.54,35.51,30,29,19,Sedang,Tengah
a01-007u-s02-00.png,84.59,33.17,5,55,7,Sedang,Tengah
a01-007u-s02-01.png,82.74,32.45,32,34,10,Sedang,Atas
a01-007u-s02-02.png,88.04,34.53,32,33,25,Sedang,Tengah
a01-007u-s02-03.png,87.91,34.47,35,37,36,Sedang,Tengah
a01-007u-s02-04.png,90.95,35.67,31,38,4,Sedang,Atas
a01-011u-s00-00.png,82.25,32.25,50,38,28,Sedang,Atas
a01-011u-s00-01.png,86.16,33.79,32,47,7,Sedang,Tengah
a01-011u-s00-02.png,86.96,34.1,45,39,29,Sedang,Tengah
a01-011u-s00-03.png,88.12,34.56,34,39,24,Sedang,Tengah
a01-011u-s00-04.png,87.07,34.15,29,35,14,Sedang,Tengah
a01-011u-s00-05.png,84.85,33.27,33,35,6,Sedang,Atas
a01-011u-s01-00.png,87,34.12,37,31,49,Sedang,Bawah
a01-011u-s01-01.png,85.53,33.54,30,34,35,Sedang,Tengah
a01-011u-s01-02.png,86.67,33.99,27,40,43,Sedang,Tengah
a01-011u-s01-03.png,86.7,34,25,34,24,Sedang,Tengah
a01-011u-s01-04.png,86.11,33.77,41,34,30,Sedang,Tengah
a01-014u-s00-00.png,82.87,32.5,27,3,86,Sedang,Bawah
a01-014u-s00-01.png,87.59,34.35,28,32,51,Sedang,Bawah
a01-014u-s00-02.png,84.93,33.31,37,30,9,Sedang,Atas
a01-014u-s01-00.png,86.5,33.92,31,28,11,Sedang,Atas
a01-014u-s01-01.png,85.91,33.69,31,28,24,Sedang,Tengah
a01-014u-s02-00.png,88.42,34.67,30,30,14,Sedang,Tengah
a01-014u-s02-01.png,84.4,33.1,12,50,7,Sedang,Tengah
a01-014u-s03-00.png,89.09,34.94,39,24,5,Sedang,Atas
a01-014u-s04-00.png,88.62,34.75,36,31,30,Sedang,Tengah
a01-014u-s04-01.png,87.48,34.31,37,35,27,Sedang,Tengah
a01-014u-s04-02.png,88.33,34.64,26,30,13,Sedang,Tengah
a01-014u-s04-03.png,88.01,34.51,28,29,10,Sedang,Atas
a01-020u-s00-00.png,88.17,34.58,27,39,10,Sedang,Tengah
a01-020u-s00-01.png,91.45,35.86,30,36,17,Sedang,Tengah
a01-020u-s00-02.png,87.47,34.3,20,32,6,Sedang,Tengah
a01-020u-s01-00.png,91.24,35.78,14,36,6,Sedang,Tengah
a01-020u-s01-01.png,88.66,34.77,29,32,12,Sedang,Tengah
a01-020u-s01-02.png,89.53,35.11,31,28,33,Sedang,Tengah
a01-020u-s02-00.png,90.19,35.37,26,33,19,Sedang,Tengah
a01-020u-s02-01.png,89.83,35.23,31,34,29,Sedang,Tengah
a01-020u-s02-02.png,90.49,35.49,35,31,32,Sedang,Tengah
a01-020u-s03-00.png,89.04,34.92,29,33,37,Sedang,Tengah
a01-020u-s03-01.png,83.83,32.87,33,23,27,Sedang,Tengah
a01-020u-s04-00.png,93.41,36.63,23,38,7,Sedang,Tengah
a01-020u-s04-01.png,86.58,33.95,28,34,16,Sedang,Tengah
a01-020u-s04-02.png,90.59,35.53,38,33,7,Sedang,Atas
a01-026u-s00-00.png,87.46,34.3,26,47,25,Sedang,Tengah
a01-026u-s00-01.png,88.81,34.83,28,38,12,Sedang,Tengah
a01-026u-s00-02.png,90.24,35.39,29,39,9,Sedang,Tengah
a01-026u-s00-03.png,89.98,35.29,39,30,13,Sedang,Atas
a01-026u-s01-00.png,91.61,35.93,7,52,13,Sedang,Tengah
a01-026u-s01-01.png,95.56,37.47,30,39,11,Sedang,Tengah
a01-026u-s01-02.png,89.56,35.12,41,36,34,Sedang,Tengah
a01-026u-s01-03.png,86.97,34.11,36,36,23,Sedang,Tengah
a01-026u-s01-04.png,92.07,36.11,4,61,24,Sedang,Tengah
a01-026u-s02-00.png,92.14,36.13,46,36,21,Sedang,Atas
a01-026u-s02-01.png,91.06,35.71,30,35,23,Sedang,Tengah
a01-026u-s02-02.png,90.54,35.51,29,44,34,Sedang,Tengah
a01-026u-s02-03.png,87.65,34.37,39,40,13,Sedang,Atas
a01-030u-s00-00.png,89.92,35.26,31,33,11,Sedang,Atas
