Nama File,Rerata,Persentase,Zona Atas,Zona Tengah,Zona Bawah,Tekanan Tulisan,Dominasi Zona
a01-000u-s00-00.png,61.36,24.06,26,41,21,Kuat,Tengah
a01-000u-s00-01.png,64.51,25.3,29,31,44,Kuat,Bawah
a01-000u-s00-02.png,66.12,25.93,36,31,37,Kuat,Tengah
a01-000u-s00-03.png,62.83,24.64,23,31,11,Kuat,Tengah
a01-000u-s01-00.png,67.27,26.38,26,30,11,Kuat,Atas
a01-000u-s01-01.png,69.18,27.13,25,31,37,Kuat,Bawah
a01-000u-s01-02.png,67.8,26.59,31,1,55,Kuat,Bawah
a01-000u-s01-03.png,70.63,27.7,28,36,22,Kuat,Tengah
a01-003u-s00-00.png,69.73,27.35,35,34,36,Kuat,Tengah
a01-003u-s00-01.png,73.09,28.66,39,40,23,Kuat,Atas
a01-003u-s00-02.png,72.78,28.54,30,34,31,Kuat,Tengah
a01-003u-s00-03.png,76.72,30.09,30,31,13,Kuat,Atas
a01-003u-s01-00.png,74.76,29.32,42,33,15,Kuat,Atas
a01-003u-s01-01.png,77.1,30.24,31,38,33,Kuat,Tengah
a01-003u-s01-02.png,79.23,31.07,32,40,31,Kuat,Tengah
a01-003u-s01-03.png,77.15,30.25,31,31,39,Kuat,Bawah
a01-003u-s01-04.png,80.96,31.75,31,27,20,Sedang,Atas
a01-003u-s02-00.png,83.8,32.86,31,38,10,Sedang,Atas
a01-003u-s02-03.png,80.69,31.64,50,37,19,Sedang,Atas
a01-007u-s00-00.png,80.72,31.65,27,43,21,Sedang,Tengah
a01-007u-s01-01.png,84.47,33.13,32,31,14,Sedang,Atas
a01-007u-s01-03.png,86.94,34.09,36,44,7,Sedang,Atas
a01-007u-s02-01.png,82.74,32.45,32,34,10,Sedang,Atas
a01-011u-s00-00.png,82.25,32.25,50,38,28,Sedang,Atas
a01-011u-s00-01.png,86.16,33.79,32,47,7,Sedang,Tengah
a01-011u-s01-03.png,86.7,34,25,34,24,Sedang,Tengah
a01-014u-s00-01.png,87.59,34.35,28,32,51,Sedang,Bawah
a01-014u-s00-02.png,84.93,33.31,37,30,9,Sedang,Atas
a01-014u-s02-01.png,84.4,33.1,12,50,7,Sedang,Tengah
a01-020u-s00-00.png,88.17,34.58,27,39,10,Sedang,Tengah
a01-020u-s00-01.png,91.45,35.86,30,36,17,Sedang,Tengah
a01-020u-s01-01.png,88.66,34.77,29,32,12,Sedang,Atas
a01-020u-s02-00.png,90.19,35.37,26,33,19,Sedang,Tengah
a01-020u-s02-01.png,89.83,35.23,31,34,29,Sedang,Tengah
a01-020u-s03-00.png,89.04,34.92,29,33,37,Sedang,Tengah
a01-020u-s04-02.png,90.59,35.53,38,33,7,Sedang,Atas
a01-026u-s00-00.png,87.46,34.3,26,47,25,Sedang,Tengah
a01-026u-s00-02.png,90.24,35.39,29,39,9,Sedang,Atas
a01-026u-s00-03.png,89.98,35.29,39,30,13,Sedang,Atas
a01-026u-s01-02.png,89.56,35.12,41,36,34,Sedang,Tengah
a01-026u-s01-03.png,86.97,34.11,36,36,23,Sedang,Atas
a01-026u-s02-00.png,92.14,36.13,46,36,21,Sedang,Atas
a01-026u-s02-02.png,90.54,35.51,29,44,34,Sedang,Tengah
a01-026u-s02-03.png,87.65,34.37,39,40,13,Sedang,Atas
a01-030u-s00-00.png,89.92,35.26,31,33,11,Sedang,Atas
a01-030u-s06-00.png,93.97,36.85,40,30,33,Sedang,Atas
a01-030u-s06-02.png,90.22,35.38,35,28,40,Sedang,Bawah
a01-030u-s06-03.png,90.85,35.63,27,30,10,Sedang,Atas
a01-043u-s00-00.png,88.29,34.62,39,41,14,Sedang,Atas
a01-043u-s01-00.png,87.75,34.41,7,57,11,Sedang,Tengah
a01-043u-s02-00.png,90.61,35.53,20,33,16,Sedang,Tengah
a01-043u-s02-01.png,91.14,35.74,35,0,62,Sedang,Bawah
a01-043u-s04-00.png,88.61,34.75,29,30,12,Sedang,Atas
a01-043u-s04-02.png,92.71,36.36,36,26,32,Sedang,Atas
a01-049u-s00-03.png,91.03,35.7,17,0,86,Sedang,Bawah
a01-049u-s01-01.png,91.57,35.91,28,49,26,Sedang,Tengah
a01-049u-s01-02.png,90.63,35.54,28,61,7,Sedang,Tengah
a01-049u-s01-04.png,90.78,35.6,39,44,10,Sedang,Atas
a01-049u-s02-01.png,89.95,35.27,28,49,19,Sedang,Tengah
a01-049u-s02-02.png,88.3,34.63,31,58,20,Sedang,Tengah
a01-049x-s00-01.png,97.79,38.35,31,33,36,Sedang,Tengah
a01-049x-s00-02.png,95.58,37.48,40,35,16,Sedang,Atas
a01-049x-s01-02.png,94.41,37.02,26,0,79,Sedang,Bawah
a01-053u-s00-00.png,91.09,35.72,31,36,8,Sedang,Atas
a01-053u-s00-02.png,89.32,35.03,19,32,14,Sedang,Tengah
a01-053u-s01-02.png,88.37,34.65,34,32,27,Sedang,Tengah
a01-053u-s02-01.png,86.49,33.92,37,32,20,Sedang,Atas
a01-053u-s03-00.png,91.65,35.94,36,31,9,Sedang,Atas
a01-053u-s03-01.png,88.77,34.81,35,29,13,Sedang,Atas
a01-058u-s00-02.png,83.76,32.85,29,30,15,Sedang,Atas
a01-058u-s02-01.png,84.2,33.02,24,35,31,Sedang,Tengah
a01-058u-s03-02.png,90.62,35.54,22,35,23,Sedang,Tengah
a01-063u-s00-00.png,87,34.12,27,25,20,Sedang,Tengah
a01-063u-s01-02.png,91.72,35.97,35,29,24,Sedang,Atas
a01-063u-s02-01.png,88.05,34.53,27,26,22,Sedang,Tengah
a01-063u-s03-02.png,91.33,35.82,29,26,29,Sedang,Tengah
a01-068u-s00-00.png,87.31,34.24,34,29,30,Sedang,Tengah
a01-068u-s00-01.png,89.62,35.15,30,30,30,Sedang,Tengah
a01-068u-s01-03.png,86.5,33.92,29,27,17,Sedang,Atas
a01-068u-s02-04.png,86.42,33.89,31,28,26,Sedang,Tengah
a01-072u-s00-01.png,90.67,35.56,32,28,8,Sedang,Atas
a01-072u-s01-01.png,89.25,35,27,27,5,Sedang,Atas
a01-072u-s02-00.png,93.49,36.66,33,24,26,Sedang,Atas
a01-072u-s02-01.png,88.86,34.85,37,28,22,Sedang,Atas
a01-072u-s03-02.png,87.87,34.46,30,26,35,Sedang,Bawah
